Annotator A ID,Annotator B ID,Parition ID,Corpora ID,Sentence ID,Text,Annotator A Text,Annotator B Text,Length,Error,Alignment Score,Agreement
6,4,1,2,2752,how early do I need to be at the station before boarding my train?,how early do I need to be at the station before boarding my train?,how early do I need to be at the station before boarding my train?,66,0,1,1
6,4,1,2,2753,Dear ----- I want to travel from San Diego to Orlando only by train as I love train Journey. I am from India and shortly visiting some relatives there. Please guide me as to which train to catch where,Dear ----- I want to travel from San Diego to Orlando [only by train as I love train Journey. I am from India and shortly visiting some relatives there. Please guide me as to which train to catch where],Dear ----- I want to travel from San Diego to Orlando only by train [as I love train Journey. I am from India and shortly visiting some relatives there.] Please guide me as to which train to catch where,200,61,0.695,1
6,4,1,2,2754,"what is one way fare from Joliet to Wisconsin dells,2 seniors and one veteran","what is one way fare from Joliet to Wisconsin dells,2 seniors and one veteran","what is one way fare from Joliet to Wisconsin dells,2 seniors and one veteran",77,0,1,1
6,4,1,2,2755,If I get on the train and purchase a ticket will it be more expensive,If I get on the train and purchase a ticket will it be more expensive,If I get on the train and purchase a ticket will it be more expensive,69,0,1,1
6,4,1,2,2756,why is going from Philadelphia to New York City so much money?,why is going from Philadelphia to New York City so much money?,why is going from Philadelphia to New York City so much money?,62,0,1,1
6,4,1,2,2757,My MasterCard?cname- card is being cahnged to a Visa card by Chase. I want to get an cname- credit card. What do I do?,[My MasterCard?cname- card is being cahnged to a Visa card by Chase. ]I want to get an cname- credit card. What do I do?,[My MasterCard?cname- card is being cahnged to a Visa card by Chase.] I want to get an cname- credit card. What do I do?,118,0,1,1
6,4,1,2,2758,"I want to travel from Chicago to Joliet, Illinois, on November 7 in the morning and return the same day in the evening.","I want to travel from Chicago to Joliet, Illinois, on November 7 in the morning and return the same day in the evening.","I want to travel from Chicago to Joliet, Illinois, on November 7 in the morning and return the same day in the evening.",119,0,1,1
6,4,1,2,2759,"If I purchase a rail pass and want to upgrade a segement to business class or roomette, what would be the additional cost? Thanks,","If I purchase a rail pass and want to upgrade a segement to business class or roomette, what would be the additional cost? [Thanks,]","If I purchase a rail pass and want to upgrade a segement to business class or roomette, what would be the additional cost?[ Thanks,]",130,0,1,1
6,4,1,2,2760,"Hi -----, Is there a commuter rail from Kingston,Ma that goes to New York","[Hi -----, ]Is there a commuter rail from Kingston,Ma that goes to New York","[Hi -----, ]Is there a commuter rail from Kingston,Ma that goes to New York",73,0,1,1
6,4,1,2,2761,I just purchased tickets for my kids in another state. can they pick them up at the departing station?,[I just purchased tickets for my kids in another state.] can they pick them up at the departing station?,I just purchased tickets [for my kids ]in another state. can they pick them up at the departing station?,102,41,0.5980392157,1
6,4,1,2,2762,when I looked yesterday I saw a train departing new rochelle for new carrollton MD at 5:15am but now it's not there,when I looked yesterday I saw a train departing new rochelle for new carrollton MD at 5:15am but now it's not there,when I looked yesterday I saw a train departing new rochelle for new carrollton MD at 5:15am but now it's not there,115,0,1,1
6,4,1,2,2763,"I lost a bunch of my emails, including cname- reservation. I do not have the reservation number. But, name is --------------------------------------------------. travel dates 12/9-12/10/15","I lost a bunch of my emails, including cname- reservation. [I do not have the reservation number. But, name is --------------------------------------------------. travel dates 12/9-12/10/15]","I lost [a bunch of my emails, including ]cname- reservation. I do not have the reservation number. But, name is ---------------[-----------------------------------.] travel dates 12/9-12/10/15",188,125,0.335106383,1
6,4,1,2,2765,I cannot search for trains after entering my travel information. Is something wrong?,I cannot search for trains after entering my travel information. [Is something wrong?],I cannot search for trains after entering my travel information. Is something wrong?,84,19,0.7738095238,0
6,4,1,2,2766,"i get an error message telling me to correct station or city name. dourest specify from or to. Nor does it identify which ""found more then one station","i get an error message telling me to correct station or city name. [dourest specify from or to. Nor does it identify which ""found more then one station]","i get an error message telling me to correct station or city name.[ dourest specify from or to. Nor does it identify which ""found more then one station]",150,0,1,1
6,4,1,2,2767,I missed my train . How can I use my ticket towards a new ticket.,[I missed my train . ]How can I use my ticket towards a new ticket.,I missed my train . How can I use my ticket towards a new ticket.,65,20,0.6923076923,0
6,4,1,2,2768,does cname- only have once a day service out of most stations?,does cname- only have once a day service out of most stations?,does cname- only have once a day service out of most stations?,62,0,1,1
6,4,1,2,2769,I have a receipt for my tickets for November 2. Ticket number is ############# I need to Print the tickets,[I have a receipt for my tickets for November 2. Ticket number is #############] I need to Print the tickets,I have a receipt for my tickets [for November 2. Ticket number is ############# ]I need to Print the tickets,106,31,0.7075471698,1
